time,open,high,low,close,volume
2026-07-21 03:25:00,4017.06,4018.18,4016.09,4016.91,90
2026-07-21 03:26:00,4016.89,4017.64,4015.19,4015.93,85
2026-07-21 03:27:00,4015.99,4017.42,4015.67,4017.22,84
2026-07-21 03:28:00,4017.21,4017.25,4015.79,4015.86,80
2026-07-21 03:29:00,4015.85,4015.91,4014.3,4014.88,74
2026-07-21 03:30:00,4014.77,4015.14,4014.19,4014.51,78
2026-07-21 03:31:00,4014.55,4016.05,4014.09,4014.49,81
2026-07-21 03:32:00,4014.51,4015.44,4014.51,4015.41,69
2026-07-21 03:33:00,4015.27,4016.72,4015.01,4015.45,82
2026-07-21 03:34:00,4015.56,4017.66,4015.54,4017.12,77
2026-07-21 03:35:00,4017.06,4018.37,4016.4,4018.15,86
2026-07-21 03:36:00,4018.14,4021.9,4017.87,4019.25,107
2026-07-21 03:37:00,4019.28,4019.38,4018.21,4018.33,82
2026-07-21 03:38:00,4018.58,4018.74,4017.6,4018.66,86
2026-07-21 03:39:00,4018.68,4019.61,4018.42,4018.86,79
2026-07-21 03:40:00,4018.84,4018.94,4018.14,4018.83,84
2026-07-21 03:41:00,4018.77,4021.93,4018.15,4021.66,80
2026-07-21 03:42:00,4022.29,4023.64,4021.68,4022.71,92
2026-07-21 03:43:00,4022.68,4022.98,4021.03,4021.17,77
2026-07-21 03:44:00,4021.1,4022.31,4021.1,4022.28,72
2026-07-21 03:45:00,4022.3,4023.61,4022.23,4023.25,90
2026-07-21 03:46:00,4023.24,4023.24,4021.8,4022.55,86
2026-07-21 03:47:00,4022.77,4024.3,4022.77,4023.49,82
2026-07-21 03:48:00,4023.46,4024.12,4022.17,4024.12,83
2026-07-21 03:49:00,4024.17,4024.77,4023.96,4024.45,64
2026-07-21 03:50:00,4024.43,4024.66,4023.57,4024.27,91
2026-07-21 03:51:00,4024.26,4025.4,4023.51,4025.36,80
2026-07-21 03:52:00,4025.1,4025.3,4024.33,4024.63,79
2026-07-21 03:53:00,4024.69,4026.11,4024.63,4025.77,73
2026-07-21 03:54:00,4025.8,4026.63,4024.19,4024.52,94
2026-07-21 03:55:00,4024.44,4024.44,4022.65,4023.39,82
2026-07-21 03:56:00,4023.37,4024.88,4023.37,4024.57,70
2026-07-21 03:57:00,4024.52,4024.78,4023.63,4024.71,82
2026-07-21 03:58:00,4024.6,4024.64,4024.0,4024.6,88
2026-07-21 03:59:00,4024.59,4026.23,4024.39,4024.61,76
2026-07-21 04:00:00,4024.72,4025.73,4018.23,4021.26,122
2026-07-21 04:01:00,4021.58,4025.16,4021.31,4022.72,116
2026-07-21 04:02:00,4023.08,4024.3,4021.39,4022.74,109
2026-07-21 04:03:00,4022.78,4022.85,4021.36,4022.3,104
2026-07-21 04:04:00,4022.65,4023.52,4020.8,4023.52,97
